iter	Passed	Remaining
762	23484	7294
763	23521	7265
764	23562	7238
765	23596	7208
766	23642	7182
767	23693	7157
768	23732	7128
769	23795	7107
770	23830	7077
771	23882	7053
772	23927	7026
773	23970	6999
774	24034	6977
775	24069	6947
776	24115	6921
777	24169	6896
778	24226	6872
779	24273	6846
780	24319	6819
781	24358	6790
782	24404	6763
783	24466	6740
784	24516	6714
785	24578	6691
786	24622	6663
787	24663	6635
788	24709	6607
789	24786	6588
790	24837	6562
791	24878	6533
792	24933	6508
793	24976	6480
794	25020	6451
795	25071	6425
796	25109	6395
797	25147	6365
798	25189	6336
799	25226	6306
800	25256	6274
801	25294	6244
802	25335	6215
803	25366	6183
804	25403	6153
805	25437	6122
806	25474	6092
807	25506	6061
808	25537	6029
809	25571	5998
810	25608	5968
811	25647	5938
812	25682	5907
813	25712	5875
814	25741	5843
815	25763	5809
816	25785	5775
817	25809	5742
818	25832	5709
819	25854	5675
820	25875	5641
821	25905	5609
822	25932	5577
823	25958	5544
824	25981	5511
825	26003	5477
826	26025	5444
827	26047	5410
828	26068	5377
829	26091	5344
830	26119	5311
831	26148	5280
832	26173	5247
833	26195	5213
834	26220	5181
835	26247	5149
836	26269	5115
837	26291	5082
838	26314	5049
839	26336	5016
840	26358	4983
841	26385	4951
842	26416	4919
843	26439	4887
844	26461	4853
845	26484	4821
846	26510	4788
847	26534	4756
848	26563	4724
849	26593	4692
850	26626	4661
851	26663	4631
852	26687	4599
853	26718	4567
854	26745	4535
855	26770	4503
856	26793	4470
857	26817	4438
858	26842	4406
859	26864	4373
860	26896	4342
861	26917	4309
862	26940	4276
863	26962	4244
864	26988	4212
865	27013	4179
866	27040	4148
867	27067	4116
868	27089	4083
869	27116	4051
870	27141	4019
871	27163	3987
872	27185	3954
873	27213	3923
874	27244	3892
875	27269	3860
876	27293	3827
877	27320	3796
878	27349	3764
879	27376	3733
880	27399	3700
881	27420	3668
882	27443	3636
883	27466	3604
884	27490	3572
885	27518	3540
886	27546	3509
887	27572	3477
888	27601	3446
889	27632	3415
890	27659	3383
891	27686	3352
892	27710	3320
893	27732	3288
894	27757	3256
895	27781	3224
896	27805	3192
897	27827	3160
898	27850	3128
899	27872	3096
900	27899	3065
901	27921	3033
902	27943	3001
903	27966	2969
904	27989	2938
905	28012	2906
906	28035	2874
907	28058	2842
908	28079	2811
909	28102	2779
910	28132	2748
911	28156	2716
912	28181	2685
913	28207	2654
914	28235	2622
915	28259	2591
916	28282	2559
917	28306	2528
918	28328	2496
919	28350	2465
920	28374	2433
921	28395	2402
922	28418	2370
923	28442	2339
924	28464	2307
925	28489	2276
926	28512	2245
927	28534	2213
928	28556	2182
929	28576	2150
930	28604	2120
931	28634	2089
932	28659	2058
933	28683	2026
934	28716	1996
935	28742	1965
936	28770	1934
937	28799	1903
938	28824	1872
939	28852	1841
940	28880	1810
941	28906	1779
942	28934	1748
943	28960	1718
944	28983	1686
945	29005	1655
946	29028	1624
947	29055	1593
948	29081	1562
949	29112	1532
950	29134	1501
951	29157	1470
952	29181	1439
953	29203	1408
954	29224	1377
955	29253	1346
956	29279	1315
957	29301	1284
958	29326	1253
959	29349	1222
960	29374	1192
961	29395	1161
962	29429	1130
963	29458	1100
964	29503	1070
965	29538	1039
966	29565	1008
967	29600	978
968	29634	948
969	29658	917
970	29687	886
971	29710	855
972	29736	825
973	29760	794
974	29789	763
975	29811	733
976	29833	702
977	29856	671
978	29877	640
979	29900	610
980	29922	579
981	29945	548
982	29968	518
983	29994	487
984	30020	457
985	30048	426
986	30077	396
987	30105	365
988	30132	335
989	30164	304
990	30193	274
991	30222	243
992	30252	213
993	30282	182
994	30311	152
995	30339	121
996	30367	91
997	30395	60
998	30434	30
999	30465	0
