iter	Logloss
0	0.6586026392
1	0.6282630003
2	0.603840837
3	0.580440504
4	0.5582608317
5	0.53976986
6	0.517654566
7	0.4981406733
8	0.4770252263
9	0.4637138297
10	0.4488263653
11	0.4359041849
12	0.421520175
13	0.4042299627
14	0.3922746521
15	0.377459087
16	0.3651048956
17	0.3556154811
18	0.3453641015
19	0.3379653438
20	0.329474648
21	0.3212440967
22	0.3116135016
23	0.305454237
24	0.2988456348
25	0.2907086219
26	0.2856271223
27	0.2788298213
28	0.2718705163
29	0.266765396
30	0.2621581905
31	0.2579778475
32	0.253518515
33	0.2488167562
34	0.2431447303
35	0.2379362166
36	0.2324387316
37	0.2282996223
38	0.2252098856
39	0.2225150555
40	0.2197434951
41	0.2162432203
42	0.2133215783
43	0.2106997001
44	0.2076118857
45	0.2041426115
46	0.2010616063
47	0.1992568357
48	0.1962192867
49	0.1944833963
50	0.1922935814
51	0.189300194
52	0.186893943
53	0.1854457931
54	0.1837530264
55	0.1811938952
56	0.1797564913
57	0.1781534423
58	0.1762640629
59	0.174750113
60	0.1731388328
61	0.1723194381
62	0.1705103168
63	0.1689702858
64	0.1676523694
65	0.1664273829
66	0.1649824784
67	0.1635872648
68	0.1621251923
69	0.1608568343
70	0.1601442079
71	0.1589186979
72	0.1577634366
73	0.157080096
74	0.1563327222
75	0.1548759309
76	0.1535342037
77	0.1525854736
78	0.1515556732
79	0.1505132903
80	0.1496863718
81	0.1490597178
82	0.1479341804
83	0.1472910026
84	0.1463747723
85	0.1456353196
86	0.145050029
87	0.1445503331
88	0.1440914786
89	0.1432763323
90	0.1422418093
91	0.1412046654
92	0.1406522262
93	0.1402563681
94	0.1393190825
95	0.1387930432
96	0.1379182694
97	0.1375269871
98	0.1367159471
99	0.136002534
100	0.1353133727
101	0.1348565199
102	0.1343320364
103	0.1337943975
104	0.1332445697
105	0.1327543095
106	0.1322385459
107	0.1314594265
108	0.1309202759
109	0.1304646162
110	0.1299382756
111	0.1293744634
112	0.1288607852
113	0.1284311448
114	0.1280910328
115	0.1275630034
116	0.1271338638
117	0.1267615601
118	0.1262760449
119	0.1259127466
120	0.1253008997
121	0.1250215076
122	0.1245537405
123	0.1241391845
124	0.1236780472
125	0.1232863447
126	0.1229387859
127	0.1226903538
128	0.1223625665
129	0.1220708443
130	0.1218148343
131	0.1215598698
132	0.1212142702
133	0.120821241
134	0.1203757707
135	0.1199074623
136	0.1196593661
137	0.1192715313
138	0.1189869884
139	0.1185345188
140	0.1183244979
141	0.1181165625
142	0.1177988792
143	0.1175098078
144	0.1171665312
145	0.1168409826
146	0.1165728671
147	0.116256328
148	0.1159350287
149	0.1157068902
150	0.1154000916
151	0.1151462224
152	0.1149845918
153	0.1146950653
154	0.1143840601
155	0.1140906693
156	0.1137650746
157	0.1134899572
158	0.1130572595
159	0.112768646
160	0.1124417811
161	0.1121570216
162	0.1117335102
163	0.1114610086
164	0.1111456642
165	0.1109051926
166	0.1106305568
167	0.1103521249
168	0.1101436465
169	0.1098497449
170	0.1097042724
171	0.1094126437
172	0.1091744201
173	0.1088796212
174	0.1086016077
175	0.1084466302
176	0.1082395808
177	0.1080050764
178	0.1077811488
179	0.1076129959
180	0.1073726182
181	0.107195592
182	0.1069159994
183	0.1065255368
184	0.1062320807
185	0.1060620661
186	0.1059100394
187	0.1055566234
188	0.1052824346
189	0.105140159
190	0.1049225717
191	0.104696198
192	0.104390493
193	0.1040719598
194	0.1039136999
195	0.10374885
196	0.1034639404
197	0.1032352641
198	0.1030158858
199	0.1027488735
200	0.1025394636
201	0.1023491639
202	0.1020851042
203	0.1018757629
204	0.1016522038
205	0.1015322961
206	0.1013076906
207	0.1009392214
208	0.1006235389
209	0.1003466739
210	0.100157103
211	0.09987957946
212	0.09972296677
213	0.09955678844
214	0.09937569683
215	0.09923076646
216	0.09898757252
217	0.0986891652
218	0.09855020862
219	0.09829944725
220	0.09814202483
221	0.09786766935
222	0.09770823705
223	0.0975095832
224	0.09729308136
225	0.09707313087
226	0.09685153314
227	0.0966517061
228	0.0965228577
229	0.09640235387
230	0.09620137175
231	0.09605562252
232	0.09584567745
233	0.09568706408
234	0.09545442399
235	0.09524545688
236	0.09506849261
237	0.09486244047
238	0.09463168811
239	0.09447774515
240	0.09433681924
241	0.09414751776
242	0.09387032659
243	0.09373288762
244	0.09351820179
245	0.09329778154
246	0.09303641121
247	0.09282743269
248	0.09262464363
249	0.09241768884
250	0.09225902803
251	0.09205575522
252	0.09192046544
253	0.09167177035
254	0.09150701268
255	0.09134112776
256	0.09119453292
257	0.09100128544
258	0.09084210113
259	0.09069828886
260	0.09046831535
261	0.09025181131
262	0.09013463527
263	0.08998123696
264	0.089877392
265	0.08973982797
266	0.08953161735
267	0.08938201658
268	0.08920647036
269	0.0890078941
270	0.08880140008
271	0.08861418058
272	0.08842560137
273	0.08826742085
274	0.0881367476
275	0.0879662469
276	0.08784976973
277	0.0877354965
278	0.0875308506
279	0.08745969693
280	0.08739658575
281	0.08727084464
282	0.08708199062
283	0.08692892096
284	0.08665579665
285	0.08646228162
286	0.08624182278
287	0.08610803201
288	0.08598183402
289	0.08582940298
290	0.08571198488
291	0.08558220262
292	0.08541846684
293	0.0852606485
294	0.08508170322
295	0.08491518441
296	0.08484965228
297	0.08474862648
298	0.08456405147
299	0.08432770888
300	0.08417464614
301	0.08399685584
302	0.08386239897
303	0.08368112657
304	0.08358775623
305	0.08347233722
306	0.08325158865
307	0.08306437387
308	0.08287089995
309	0.08271951161
310	0.0825629529
311	0.08240275739
312	0.08225945148
313	0.08202554095
314	0.08187143541
315	0.08173192532
316	0.08157762999
317	0.08150070755
318	0.08131622862
319	0.08123977511
320	0.08108709923
321	0.08102327117
322	0.08084903621
323	0.08064037948
324	0.08047783451
325	0.08042569641
326	0.08028188616
327	0.08012876455
328	0.07991985135
329	0.07981128552
330	0.07977814639
331	0.07968445311
332	0.07957855778
333	0.07941777575
334	0.07924464072
335	0.0790167401
336	0.07895430447
337	0.0787797281
338	0.07862095331
339	0.0785661535
340	0.0784054775
341	0.07827064541
342	0.07807761128
343	0.07800202651
344	0.07773373616
345	0.07750452096
346	0.07739280967
347	0.07721227512
348	0.07710823019
349	0.07699787941
350	0.07690735606
351	0.07679108589
352	0.07669978385
353	0.07652730274
